Date,V1,V2,V3
2024-5-9 9:38:33,127.73 ,125.92 ,126.88 
2024-5-9 9:38:34,127.79 ,126.06 ,127.04 
2024-5-9 9:38:35,127.87 ,126.10 ,127.07 
2024-5-9 9:38:36,127.96 ,126.19 ,127.15 
2024-5-9 9:38:38,127.96 ,126.20 ,127.17 
2024-5-9 9:38:39,127.98 ,126.21 ,127.17 
2024-5-9 9:38:40,127.95 ,126.21 ,127.15 
2024-5-9 9:38:41,127.91 ,126.19 ,127.17 
2024-5-9 9:38:42,127.89 ,126.10 ,127.10 
2024-5-9 9:38:44,127.88 ,126.17 ,127.16 
2024-5-9 9:38:45,127.88 ,126.22 ,127.20 
2024-5-9 9:38:46,127.96 ,126.29 ,127.24 
2024-5-9 9:38:47,127.98 ,126.30 ,127.27 
2024-5-9 9:38:49,128.00 ,126.33 ,127.32 
2024-5-9 9:38:50,128.04 ,126.36 ,127.33 
2024-5-9 9:38:51,128.03 ,126.32 ,127.30 
2024-5-9 9:38:52,128.04 ,126.36 ,127.33 
2024-5-9 9:38:53,128.06 ,126.40 ,127.35 
2024-5-9 9:38:55,128.04 ,126.39 ,127.33 
2024-5-9 9:38:56,128.07 ,126.44 ,127.36 
2024-5-9 9:38:57,128.08 ,126.43 ,127.36 
2024-5-9 9:38:58,128.10 ,126.43 ,127.38 
2024-5-9 9:38:59,128.09 ,126.43 ,127.41 
2024-5-9 9:39:1,128.05 ,126.34 ,127.38 
2024-5-9 9:39:2,128.05 ,126.34 ,127.37 
2024-5-9 9:39:3,128.07 ,126.35 ,127.36 
2024-5-9 9:39:4,127.98 ,126.29 ,127.29 
2024-5-9 9:39:5,127.94 ,126.24 ,127.25 
2024-5-9 9:39:7,127.96 ,126.23 ,127.24 
2024-5-9 9:39:8,127.97 ,126.20 ,127.23 
2024-5-9 9:39:9,127.98 ,126.26 ,127.31 
2024-5-9 9:39:10,128.03 ,126.30 ,127.31 
2024-5-9 9:39:11,128.06 ,126.32 ,127.36 
2024-5-9 9:39:13,128.03 ,126.23 ,127.26 
2024-5-9 9:39:14,127.97 ,126.21 ,127.24 
2024-5-9 9:39:15,127.94 ,126.22 ,127.23 
2024-5-9 9:39:16,127.95 ,126.23 ,127.23 
2024-5-9 9:39:17,127.92 ,126.20 ,127.22 
2024-5-9 9:39:19,127.92 ,126.16 ,127.18 
2024-5-9 9:39:20,127.92 ,126.18 ,127.21 
2024-5-9 9:39:21,127.90 ,126.15 ,127.20 
2024-5-9 9:39:22,127.89 ,126.16 ,127.18 
2024-5-9 9:39:24,127.95 ,126.20 ,127.20 
2024-5-9 9:39:25,127.94 ,126.20 ,127.21 
2024-5-9 9:39:26,127.94 ,126.21 ,127.23 
2024-5-9 9:39:27,127.96 ,126.19 ,127.20 
2024-5-9 9:39:28,127.88 ,126.12 ,127.14 
2024-5-9 9:39:30,127.89 ,126.14 ,127.13 
2024-5-9 9:39:31,127.88 ,126.09 ,127.10 
2024-5-9 9:39:32,127.84 ,126.10 ,127.10 
2024-5-9 9:39:33,127.80 ,126.09 ,127.08 
2024-5-9 9:39:34,127.83 ,126.11 ,127.10 
2024-5-9 9:39:36,127.84 ,126.14 ,127.11 
2024-5-9 9:39:37,127.85 ,126.16 ,127.11 
2024-5-9 9:39:38,127.82 ,126.16 ,127.10 
2024-5-9 9:39:39,127.85 ,126.19 ,127.13 
2024-5-9 9:39:41,127.88 ,126.19 ,127.14 
2024-5-9 9:39:42,127.84 ,126.18 ,127.10 
2024-5-9 9:39:43,127.90 ,126.23 ,127.17 
2024-5-9 9:39:44,127.93 ,126.26 ,127.22 
2024-5-9 9:39:45,127.97 ,126.24 ,127.19 
2024-5-9 9:39:47,127.98 ,126.22 ,127.17 
